,WT
212,1.01250839537137
213,0.8697399128412301
214,1.2036271110493
215,1.35816025792458
216,1.36969643061259
217,0.8102024059091272
218,0.878638197685825
219,1.0802797947138298
220,0.821935086698543
221,2.3453884723625698
222,1.0154685935764498
223,0.71381109343521
224,1.0154559281801
225,0.940013056724374
226,0.867113061368499
227,1.10623694582626
228,1.0522669368642
229,0.9755719544349889
230,0.72415074568029
231,0.7358774922697789
232,0.776571105213548
233,1.4517179198844499
234,1.83993304508771
235,1.1910400748283798
236,0.985245392538817
237,1.00058632980232
238,1.0635522796408199
239,0.987896313900961
240,0.8032105001110309
241,0.9840261306378759
242,0.9479968050638671
243,0.873730984849967
244,0.8622090036157579
245,1.14097909364156
246,1.06850345487324
247,0.914345562762023
248,0.7858540339347421
249,0.930011639820534
250,1.4164088022862198
251,1.1630304375298501
252,0.8084295994154309
253,0.8362860760257409
254,0.8270468892195959
255,1.18379286209972
256,0.8543532467306191
257,1.17855271858435
258,1.00641703468088
259,1.07510519316433
260,1.06357256092388
261,1.13391692222715
262,1.11755424921276
263,1.4817515454641599
264,0.8309919863580699
265,0.6985722839206571
266,1.06124975235947
267,0.7293983928403192
268,1.4698968019633702
269,0.802966792286338
270,0.924134133699705
271,1.00170885205171
272,1.38426185062124
273,1.79430402022356
274,0.9602555797931179
275,0.84069118294963
276,0.9436084692426209
277,0.901865782200621
278,1.86165878715786
279,1.10186029794857
280,1.18611636102492
281,1.19119194371305
282,0.887207546211793
283,1.43472671045277
284,0.9889131648661591
285,1.26535741398175
286,1.23739172960106
287,0.7931972370895909
288,1.03470695887608
289,0.9815427833994069
290,1.0020252614546301
291,1.18840579509374
292,0.7480246316444901
293,0.9738537342135359
294,0.8452779502604179
295,0.9806372118719471
296,1.15966864574443
297,1.28385646207399
298,0.7178518012655941
299,0.9410100385001479
300,1.11095139624101
301,0.7356459569995519
302,0.862490085724902
303,1.0787409448932799
304,1.05260959808232
305,0.848081985564491
306,1.51636776533763
307,0.7621290707447042
308,1.20384296746493
309,1.08808787899724
310,1.15043821610762
311,1.1062438510264598
312,0.6619880089182729
313,1.31985063854525
314,0.863104402266526
315,1.21182869282989
316,1.16012769574967
317,1.01760029621773
318,0.8235539219738679
319,0.9526615990820971
320,0.9925708861347591
321,0.7791792439463859
322,0.846921048288043
323,1.07414561490722
324,1.16951511077842
325,1.13032037104289
326,1.0258528368667599
327,1.40550067837246
328,0.7487709640371389
329,1.03254857137951
330,0.904381570237546
331,1.5838377980599099
332,0.96888421540103
333,0.7955116726261758
334,1.33947636829529
335,0.953358548038491
336,1.05420235196353
337,1.12182745564466
338,0.910057857812967
339,1.2848495426903
340,1.16076061681363
341,1.5460920034516699
342,1.00932326308113
343,1.11099781246132
344,0.923673369134471
345,0.880081627239573
346,0.7130596890697659
347,0.9032796959070342
348,0.9496633643015991
349,0.813757613739022
350,2.1677027468106003
351,0.752874148582793
352,1.10663987428456
353,2.07822850456855
354,0.722943451992869
355,1.00032562233565
356,0.963867820709818
357,0.9237467040416519
358,0.868461181809795
359,1.0356262900033801
360,1.3892970183973898
361,1.0740594079527799
362,0.8996605281049609
363,1.21745930239953
364,1.0701268802053499
365,0.707416007326069
366,1.8250017555637899
367,0.970174608946331
368,1.24723487694652
369,0.8786928522331859
370,0.7708025905452991
371,0.9961030300158399
372,0.8429505382796461
373,1.05212601670061
374,2.3770597214033797
375,1.0015982519249
376,0.85599899502957
377,1.23946905148501
378,0.7607969330468101
379,1.16375364932805
380,0.906964623005141
381,1.49944272706144
382,0.7629071051149301
383,0.960846923104831
384,1.7630225476796002
385,1.02309074877366
386,0.802800841025144
387,1.5744362386652198
388,0.841315361669004
389,0.928473660390203
390,1.02932003859727
391,0.864608833397098
392,1.0397022589412201
393,1.03119208555224
394,1.2788282523578798
395,1.16688795294412
396,0.9130247425157242
397,0.9292564256607171
398,1.18726218782315
399,1.38986521891401
400,1.21726576410935
401,1.06838776345824
402,0.793732590419221
403,1.04601993031987
404,1.76552318804957
405,0.801853733797895
406,0.9790215094794609
407,1.07913579972719
408,0.9650711617380071
409,0.967262263584394
410,1.1398331836096203
411,0.8802249684594129
412,0.967343108993865
413,1.2101964390563602
414,0.900289414678497
415,0.959484885150988
416,1.7202164879785902
417,1.49108092380604
418,1.0126604171565898
419,1.1367897223052
420,0.7811338957115859
421,0.9729754670401609
422,1.40369613229772
423,1.5861328411803501
424,1.19570094766726
425,0.8682501396005009
426,0.9326827112407391
427,1.06321352094494
428,1.11996648633818
429,1.2451802946389
430,0.8579559772656329
431,1.0497358863900699
432,0.825817532698759
433,1.3624965860866698
434,1.15454983128296
435,1.16881136819095
436,0.77129832667491
437,1.11460034035504
438,0.8028122063397289
439,0.900463742606274
440,0.875464053135077
441,1.2757598566733999
442,0.8443552046237109
443,1.25795767262992
444,1.49534714518263
445,1.4773614454908202
446,1.2292473874667
447,1.4279457961682098
448,0.9311769911445749
449,0.921563039182713
450,0.9197791409460708
451,0.9816731473194109
452,0.829016419009348
453,0.738488750451811
454,0.907187027861734
455,0.9129868574956791
456,0.9441057903179921
457,0.795308355752088
458,1.4900536744666102
459,1.02339392894199
460,1.11467309344383
461,1.29832811294072
462,1.4691527259159898
463,0.9192130279065279
464,0.9141437841862591
